source,translated,context
Access Control,التحكم بالوصول,
Access Matrix,مصفوفة الوصول,
Action,إجراء,
Action Map,خريطة الإجراءات,
Action Maps,خرائط الإجراءات,
Action needed,يتطلب إجراء,
Action Restrictions,قيود الإجراءات,
active,نشط,
Active,نشط,
Active Capability,صلاحية نشطة,
Active Policies,السياسات النشطة,
Admin Dashboard,لوحة المشرف,
Admin: Managing Capabilities,المشرف: إدارة الصلاحيات,
Admin: Visual Graph Explorer,المشرف: مستكشف الرسم البياني,
All CAPS caches cleared,تم مسح جميع ذاكرات CAPS المؤقتة,
App,التطبيق,
As a CAPS Admin you have full control:,كمشرف CAPS لديك التحكم الكامل:,
As a CAPS Manager you can delegate capabilities to team members:,كمدير CAPS يمكنك تفويض الصلاحيات لأعضاء الفريق:,
Assignment & Groups,التعيين والمجموعات,
Audit & Settings,السجل والإعدادات,
Audit Log,سجل التدقيق,
Audit Report,تقرير التدقيق,
auto-grants,منح تلقائي,
Auto Sync,مزامنة تلقائية,
Blue pills = Only User A,الحبوب الزرقاء = المستخدم أ فقط,
Bridge Frappe roles to CAPS capabilities,ربط أدوار Frappe بصلاحيات CAPS,
Build Bundles,بناء الحزم,
Bundle,حزمة,
Bundle Composition,تكوين الحزمة,
Bundles,الحزم,
BUNDLES,الحزم,
Bust All Caches,مسح كل الذاكرة المؤقتة,
capabilities,صلاحيات,
Capabilities,الصلاحيات,
CAPABILITIES,الصلاحيات,
Capability,صلاحية,
Capability Bundle,حزمة الصلاحيات,
Capability-Based Access Control,التحكم بالوصول القائم على الصلاحيات,
Capability-Based Access Control Dashboard,لوحة التحكم بالوصول القائم على الصلاحيات,
Capability Coverage,تغطية الصلاحيات,
Capability Hierarchy,تسلسل الصلاحيات,
Capability Policy,سياسة الصلاحيات,
Capability Rate Limit,حد معدل الصلاحية,
Capability Request,طلب صلاحية,
Capability Snapshot,لقطة الصلاحيات,
CAPS,نظام الصلاحيات,
CAPS Admin,مشرف الصلاحيات,
CAPS Admin Help,مساعدة مشرف الصلاحيات,
CAPS Administration,إدارة الصلاحيات,
CAPS Administration Dashboard,لوحة إدارة الصلاحيات,
CAPS Audit Log,سجل تدقيق الصلاحيات,
CAPS Audit Report,تقرير تدقيق الصلاحيات,
CAPS Graph,رسم الصلاحيات البياني,
CAPS Graph Explorer,مستكشف رسم الصلاحيات,
CAPS Help,مساعدة الصلاحيات,
CAPS Impersonation Active,انتحال هوية CAPS نشط,
CAPS Integration Pack,حزمة تكامل CAPS,
CAPS Manager,مدير الصلاحيات,
CAPS Module Map,خريطة وحدات الصلاحيات,
CAPS Onboarding,دليل بدء الصلاحيات,
CAPS provides fine-grained capability-based access control for your Frappe applications. Instead of coarse roles CAPS lets you define atomic capabilities and compose them into bundles groups and policies.,يوفر CAPS تحكماً دقيقاً بالوصول القائم على الصلاحيات لتطبيقات Frappe. بدلاً من الأدوار العامة يتيح لك CAPS تعريف صلاحيات ذرية وتجميعها في حزم ومجموعات وسياسات.,
CAPS Settings,إعدادات الصلاحيات,
CAPS Site Profile,ملف الموقع,
CAPS works behind the scenes to control what you can see and do:,يعمل CAPS خلف الكواليس للتحكم فيما يمكنك رؤيته وفعله:,
Category,الفئة,
Certain buttons or actions may be restricted,قد تكون بعض الأزرار أو الإجراءات مقيدة,
Choose your role to get a tailored walkthrough:,اختر دورك للحصول على جولة مخصصة:,
Click a node for details. Double-click to navigate. Use toolbar to switch layouts.,انقر على عقدة للتفاصيل. انقر مرتين للانتقال. استخدم شريط الأدوات لتبديل التخطيطات.,
Click nodes for details. Double-click to navigate. Export as SVG or PNG.,انقر على العقد للتفاصيل. انقر مرتين للانتقال. تصدير كـ SVG أو PNG.,
Common,مشترك,
common,مشترك,
Compare,مقارنة,
Compare Help,مساعدة المقارنة,
Compare User Capabilities,مقارنة صلاحيات المستخدمين,
Compare user capabilities side-by-side,مقارنة صلاحيات المستخدمين جنباً إلى جنب,
Compare Users,مقارنة المستخدمين,
Comparing...,جارٍ المقارنة...,
Comparison failed,فشلت المقارنة,
Config exported,تم تصدير الإعدادات,
Config exported. Check downloads.,تم تصدير الإعدادات. تحقق من التنزيلات.,
Config imported,تم استيراد الإعدادات,
Configure Policies,تكوين السياسات,
Control field visibility and button access per capability,التحكم في ظهور الحقول والوصول إلى الأزرار حسب الصلاحية,
Could not load audit log,تعذر تحميل سجل التدقيق,
Could not load expiring items,تعذر تحميل العناصر المنتهية,
Could not load policies,تعذر تحميل السياسات,
Coverage,التغطية,
Create Capabilities,إنشاء صلاحيات,
Dashboard,لوحة القيادة,
Dashboard & Pages,لوحة القيادة والصفحات,
Define atomic permissions like 'view_reports' or 'approve_invoices',تعريف أذونات ذرية مثل 'عرض_التقارير' أو 'اعتماد_الفواتير',
Delegatable,قابل للتفويض,
DocType,نوع المستند,
Error loading graph,خطأ في تحميل الرسم البياني,
Expires,تنتهي,
Expiring Soon,تنتهي قريباً,
Explore Graph,استكشاف الرسم البياني,
Export Config,تصدير الإعدادات,
Field & Action,الحقل والإجراء,
Field & Action Restrictions,قيود الحقول والإجراءات,
Field/Action Maps,خرائط الحقول/الإجراءات,
Field Capability Map,خريطة صلاحية الحقل,
Field Map,خريطة الحقل,
Field Maps,خرائط الحقول,
Field Restrictions,قيود الحقول,
Fields may be hidden or read-only based on your capabilities,قد تكون الحقول مخفية أو للقراءة فقط بناءً على صلاحياتك,
Fit to Screen,ملاءمة الشاشة,
Frappe role → CAPS capability mappings,تعيينات أدوار Frappe → صلاحيات CAPS,
Full Onboarding Guide →,دليل البدء الكامل →,
Go to Admin Dashboard →,الذهاب إلى لوحة المشرف →,
Go to CAPS Workspace,الذهاب إلى مساحة عمل الصلاحيات,
Go to Dashboard,الذهاب إلى لوحة القيادة,
Grant capabilities you hold to other users,منح الصلاحيات التي تملكها لمستخدمين آخرين,
granted,ممنوح,
grants,يمنح,
